[51.7469220, -1.2342630],
[51.7469110, -1.2342150],
[51.7468860, -1.2341320],
[51.7468760, -1.2341130],
[51.7468010, -1.2338320],
[51.7467030, -1.2335630],
[51.7466620, -1.2334700],
[51.7466430, -1.2334360],
[51.7465760, -1.2333000],
[51.7465500, -1.2332300],
[51.7464510, -1.2329640],
[51.7464380, -1.2329290],
[51.7464250, -1.2328950],
[51.7463530, -1.2327570],
[51.7462740, -1.2325650],
[51.7462570, -1.2325350],
[51.7461880, -1.2323660],
[51.7461730, -1.2323310],
[51.7460960, -1.2321670],
[51.7459890, -1.2319120],
[51.7458720, -1.2316540],
[51.7457660, -1.2313940],
[51.7457490, -1.2313620],
[51.7456450, -1.2311220],
[51.7455460, -1.2308710],
[51.7454710, -1.2306660],
[51.7454600, -1.2306350],
[51.7453380, -1.2304020],
[51.7452290, -1.2301380],
[51.7451080, -1.2298980],
[51.7450220, -1.2298010],
[51.7450050, -1.2297820],
[51.7448580, -1.2296030],
[51.7448570, -1.2295070],
[51.7448540, -1.2294680],
[51.7446970, -1.2292740],
[51.7445190, -1.2291210],
[51.7443580, -1.2289620],
[51.7443320, -1.2289400],
[51.7443090, -1.2289210],
[51.7442110, -1.2288040],
[51.7441720, -1.2287510],
[51.7441110, -1.2286800],
[51.7440570, -1.2286000],
[51.7439240, -1.2283740],
[51.7440180, -1.2281250],
[51.7441520, -1.2278830],
[51.7442750, -1.2276500],
[51.7443980, -1.2274390],
[51.7444350, -1.2273530],
[51.7444440, -1.2273340],
[51.7445180, -1.2271270],
[51.7445240, -1.2271060],
[51.7445050, -1.2268290],
[51.7444910, -1.2267660],
[51.7444280, -1.2264620],
[51.7444160, -1.2264010],
[51.7444050, -1.2263430],
[51.7443740, -1.2261110],
[51.7443410, -1.2259440],
[51.7442670, -1.2256400],
[51.7442080, -1.2254630],
[51.7441840, -1.2254070],
[51.7440820, -1.2251050],
[51.7439890, -1.2248190],
[51.7439290, -1.2246490],
[51.7438940, -1.2245450],
[51.7438130, -1.2242640],
[51.7437820, -1.2241510],
[51.7437510, -1.2240550],
[51.7436670, -1.2237810],
[51.7435810, -1.2235270],
[51.7434870, -1.2232650],
[51.7434460, -1.2231550],
[51.7434330, -1.2230950],
[51.7433410, -1.2228200],
[51.7432310, -1.2225580],
[51.7431230, -1.2222930],
[51.7430250, -1.2220160],
[51.7429270, -1.2217370],
[51.7428350, -1.2214570],
[51.7427480, -1.2212330],
[51.7427280, -1.2211770],
[51.7426880, -1.2210690],
[51.7426000, -1.2208460],
[51.7425570, -1.2207460],
[51.7425210, -1.2206390],
[51.7424930, -1.2205770],
[51.7424860, -1.2205590],
[51.7424790, -1.2205470],
